iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:02:00 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
2.18 10.5 23.1 -10.2 -0.82 0.22 -0.85 37.428033 -122.174212 35.4 0.8273 0.2400 0.4271 -0.084 0.200 -2.721
2.22 11.1 20.2 -9.4 -0.59 0.03 -0.79 37.428033 -122.174212 35.4 0.4703 0.0699 -0.2458 -0.129 0.210 -2.707
2.25 11.1 20.2 -9.4 -0.41 -0.10 -0.84 37.428033 -122.174212 35.4 0.2959 0.1234 -0.4493 -0.145 0.216 -2.711
2.28 11.0 20.0 -9.0 -0.22 -0.19 -0.90 37.428033 -122.174212 35.4 0.1014 -0.1084 -0.5442 -0.147 0.223 -2.724
2.31 11.0 20.0 -9.0 -0.11 -0.28 -0.87 37.428033 -122.174212 35.4 0.0890 0.0003 -0.4068 -0.148 0.233 -2.737
2.34 11.0 19.7 -10.1 0.35 -0.67 -0.88 37.428033 -122.174212 35.4 -0.2096 -0.0269 -0.4923 -0.138 0.234 -2.755
2.37 11.0 19.7 -10.1 -0.19 -0.19 -1.00 37.428033 -122.174212 35.4 -0.9361 -0.2291 0.6963 -0.151 0.214 -2.748
2.40 11.0 20.0 -10.3 -0.28 -0.15 -1.29 37.428033 -122.174212 35.4 -0.6997 -0.1849 0.2006 -0.156 0.186 -2.738
2.43 11.0 20.0 -10.3 0.03 -0.30 -0.93 37.428033 -122.174212 35.4 0.1850 -0.1863 -0.1522 -0.151 0.191 -2.744
2.47 9.6 20.3 -10.1 -0.06 -0.26 -0.76 37.428033 -122.174212 35.4 0.3586 0.2187 0.1780 -0.148 0.208 -2.740
2.50 9.6 20.3 -10.1 -0.18 -0.21 -1.00 37.428033 -122.174212 35.4 -0.2753 -0.0590 0.2196 -0.151 0.201 -2.731
2.53 9.6 20.2 -10.5 -0.14 -0.24 -1.03 37.428033 -122.174212 35.4 -0.0049 -0.1242 0.0188 -0.155 0.199 -2.729
2.56 9.6 20.2 -10.5 -0.10 -0.27 -0.95 37.428033 -122.174212 35.4 0.1548 0.0297 -0.0180 -0.148 0.211 -2.730
2.59 9.7 20.5 -11.0 -0.10 -0.25 -1.00 37.428033 -122.174212 35.4 -0.0600 -0.0625 -0.0129 -0.142 0.218 -2.731
2.62 9.7 20.5 -11.0 -0.10 -0.24 -1.07 37.428033 -122.174212 35.4 -0.0184 -0.0873 -0.0295 -0.139 0.217 -2.733
2.65 9.6 20.2 -10.5 -0.08 -0.25 -0.95 37.428033 -122.174212 35.4 0.2714 -0.1091 0.0035 -0.137 0.225 -2.734
2.68 9.6 20.2 -10.5 -0.15 -0.24 -0.99 37.428033 -122.174212 35.4 0.2847 -0.0099 0.0629 -0.140 0.234 -2.731
