iPhone Sensor Log from Crossbow started at Nov 17, 2011 15:20:06 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
3.07 -20.2 -0.2 -45.4 0.06 -0.16 -1.03 37.425976 -122.151702 7.7 -0.2560 0.2833 0.2402 0.039 0.134 -0.288
3.10 -20.0 0.0 -45.3 0.08 -0.12 -1.01 37.425976 -122.151702 7.7 -0.0529 -0.2822 -0.0116 0.041 0.130 -0.286
3.13 -20.0 0.0 -45.3 0.02 -0.13 -0.98 37.425976 -122.151702 7.7 0.3166 -0.3079 -0.0806 0.022 0.139 -0.290
3.16 -20.4 0.6 -46.2 0.01 -0.14 -0.99 37.425976 -122.151702 7.7 -0.0851 0.0177 -0.0061 0.020 0.142 -0.292
3.19 -20.4 0.6 -46.2 0.05 -0.13 -1.01 37.425976 -122.151702 7.7 -0.2363 -0.0530 0.1014 0.020 0.136 -0.290
3.22 -21.1 0.5 -46.7 0.05 -0.13 -1.01 37.425976 -122.151702 7.7 0.2607 -0.1260 -0.0521 0.016 0.136 -0.290
3.25 -21.1 0.5 -46.7 0.03 -0.12 -0.98 37.425976 -122.151702 7.7 0.2008 -0.0077 0.1731 0.014 0.143 -0.289
3.29 -21.7 0.2 -45.6 -0.02 -0.15 -0.99 37.425976 -122.151702 7.7 -0.0013 0.1447 0.2256 0.014 0.145 -0.280
3.32 -21.7 0.2 -45.6 0.09 -0.14 -1.01 37.425976 -122.151702 7.7 -0.0144 0.0000 0.0168 0.024 0.144 -0.278
3.35 -21.9 -0.4 -44.8 0.05 -0.12 -1.02 37.425976 -122.151702 7.7 0.1944 -0.1348 0.0789 0.020 0.145 -0.277
3.38 -21.9 -0.4 -44.8 0.02 -0.16 -1.01 37.425976 -122.151702 7.7 0.2842 0.0768 0.2380 0.020 0.155 -0.271
3.41 -21.8 -0.8 -45.4 0.03 -0.18 -0.99 37.425976 -122.151702 7.7 0.0566 0.2298 0.3864 0.024 0.160 -0.263
3.44 -21.8 -0.8 -45.4 0.07 -0.20 -1.01 37.425976 -122.151702 7.7 0.0030 0.2421 0.2738 0.033 0.162 -0.255
3.47 -22.3 -0.5 -45.1 0.06 -0.17 -1.00 37.425976 -122.151702 7.7 0.3374 0.0724 0.0906 0.037 0.170 -0.248
3.50 -22.3 -0.5 -45.1 0.06 -0.18 -0.99 37.425976 -122.151702 7.7 0.2264 -0.0143 0.0642 0.039 0.178 -0.247
3.54 -22.0 -0.3 -44.9 0.08 -0.18 -1.01 37.425976 -122.151702 7.7 -0.0138 -0.0077 0.1823 0.039 0.180 -0.245
