iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:33:44 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
2.53 -15.2 -14.0 7.8 -0.25 -0.65 -0.15 37.428006 -122.174270 34.0 -0.8737 -0.0618 1.9929 -0.933 1.314 1.147
2.56 -15.2 -14.0 7.8 -0.36 -0.61 -0.19 37.428006 -122.174270 34.0 -1.0189 -0.6523 2.1260 -0.984 1.250 1.189
2.60 -16.2 -14.2 7.5 -0.37 -0.54 -0.14 37.428006 -122.174270 34.0 -0.7604 -1.1664 1.8690 -1.064 1.152 1.226
2.63 -16.2 -14.2 7.5 -0.37 -0.49 -0.11 37.428006 -122.174270 34.0 -0.6581 -1.0571 1.8925 -1.111 1.097 1.243
2.66 -18.7 -13.8 9.1 -0.42 -0.44 -0.21 37.428006 -122.174270 34.0 -0.7794 -1.0590 2.0556 -1.151 1.039 1.255
2.69 -18.7 -13.8 9.1 -0.53 -0.37 -0.26 37.428006 -122.174270 34.0 -0.9723 -1.1103 2.1973 -1.182 0.974 1.255
2.72 -19.8 -12.9 9.9 -0.58 -0.25 -0.29 37.428006 -122.174270 34.0 -0.7670 -0.6421 2.3568 -1.218 0.883 1.257
2.75 -19.8 -12.9 9.9 -0.70 -0.19 -0.28 37.428006 -122.174270 34.0 -0.7897 -0.6385 2.4719 -1.237 0.813 1.262
2.78 -21.7 -11.3 10.5 -0.61 -0.17 -0.32 37.428006 -122.174270 34.0 -0.9675 -0.3459 2.7016 -1.253 0.736 1.261
2.81 -21.7 -11.3 10.5 -0.80 -0.05 -0.70 37.428006 -122.174270 34.0 -1.0436 0.8353 2.6774 -1.242 0.656 1.258
2.85 -24.3 -9.7 10.9 -1.05 0.04 -0.54 37.428006 -122.174270 34.0 -0.9648 -0.7193 2.9727 -1.228 0.513 1.250
2.88 -24.3 -9.7 10.9 -1.05 0.04 -0.54 37.428006 -122.174270 34.0 -0.3807 -0.5746 2.7710 -1.253 0.431 1.262
2.91 -27.0 -6.1 12.1 -1.01 0.05 -0.57 37.428006 -122.174270 34.0 -0.0954 -1.0263 2.7274 -1.281 0.357 1.281
2.94 -27.0 -6.1 12.1 -1.04 0.19 -0.27 37.428006 -122.174270 34.0 0.3850 -1.3012 2.5389 -1.326 0.286 1.307
2.97 -27.7 -2.8 13.3 -0.82 0.19 -0.14 37.428006 -122.174270 34.0 0.4004 -1.1053 2.6182 -1.377 0.192 1.346
3.00 -27.7 -2.8 13.3 -1.03 0.40 -0.09 37.428006 -122.174270 34.0 0.3341 -1.1807 2.9126 -1.414 0.116 1.370
3.03 -28.4 2.7 15.2 -0.98 0.44 0.08 37.428006 -122.174270 34.0 0.3038 -0.1689 2.6411 -1.434 0.039 1.391
3.06 -28.4 2.7 15.2 -0.98 0.57 -0.42 37.428006 -122.174270 34.0 -0.5169 -0.0479 2.8768 -1.433 -0.036 1.395
3.10 -28.2 7.0 17.2 -1.24 0.72 -0.24 37.428006 -122.174270 34.0 0.4748 -0.5125 2.8499 -1.462 -0.177 1.409
3.13 -28.2 7.0 17.2 -1.04 0.73 0.03 37.428006 -122.174270 34.0 0.0669 -0.3031 2.6284 -1.467 -0.249 1.427
3.16 -26.7 13.5 19.0 -1.22 0.81 -0.22 37.428006 -122.174270 34.0 -0.3594 -0.6426 2.6814 -1.481 -0.324 1.426
