iPhone Sensor Log from Crossbow started at Nov 17, 2011 15:20:55 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
2.60 -27.3 0.0 -39.9 -0.14 -0.01 -0.82 37.425930 -122.151760 24.8 0.3603 0.2805 0.2034 -0.082 0.058 -0.267
2.63 -27.3 0.0 -39.9 -0.14 -0.01 -0.82 37.425930 -122.151760 24.8 0.4531 0.8371 0.1705 -0.056 0.076 -0.262
2.66 -27.4 0.0 -40.0 -0.03 -0.14 -0.98 37.425930 -122.151760 24.8 -0.0099 0.5091 0.9567 -0.041 0.081 -0.245
2.69 -27.4 0.0 -40.0 -0.03 -0.14 -0.98 37.425930 -122.151760 24.8 -0.0696 0.6361 0.4007 -0.021 0.073 -0.210
2.72 -25.9 0.0 -40.7 -0.01 -0.08 -0.97 37.425930 -122.151760 22.7 0.0870 0.6945 0.4564 -0.003 0.074 -0.200
2.76 -25.9 0.0 -40.7 -0.08 -0.10 -0.93 37.425930 -122.151760 22.7 0.0578 0.1948 0.7441 0.006 0.076 -0.184
2.79 -24.5 0.6 -40.7 -0.02 -0.16 -0.99 37.425930 -122.151760 22.7 0.1451 -0.0230 0.3437 0.002 0.087 -0.164
2.82 -24.5 0.6 -40.7 0.01 -0.12 -1.01 37.425930 -122.151760 22.7 0.2903 0.2498 0.0138 0.005 0.096 -0.160
2.85 -24.2 1.9 -41.4 -0.02 -0.12 -0.94 37.425930 -122.151760 22.7 0.3125 0.2217 0.2132 0.006 0.108 -0.158
2.88 -24.2 1.9 -41.4 -0.02 -0.16 -0.96 37.425930 -122.151760 22.7 0.2731 0.0428 0.3538 0.002 0.126 -0.139
2.91 -23.5 1.7 -41.9 0.04 -0.18 -0.96 37.425930 -122.151760 22.7 0.0158 0.2353 0.0415 0.009 0.133 -0.136
2.95 -23.5 1.7 -41.9 0.02 -0.10 -0.98 37.425930 -122.151760 22.7 -0.0300 -0.0362 0.3890 0.012 0.127 -0.128
2.98 -22.3 2.0 -42.3 0.01 -0.15 -1.03 37.425930 -122.151760 22.7 0.3068 0.0300 0.3204 0.009 0.132 -0.118
3.01 -22.3 2.0 -42.3 0.04 -0.15 -1.03 37.425930 -122.151760 22.7 0.3277 0.1965 0.0113 0.013 0.143 -0.115
